Month;Males;Females
2024-11;2226071.0;946953.0
2024-10;2185563.0;905457.0
2024-09;2206422.0;932791.0
2024-08;2162447.0;891918.0
2024-07;2044163.0;743412.0
2024-06;2070164.0;787658.0
2024-05;2179181.0;901623.0
2024-04;2190411.0;908455.0
2024-03;2212468.0;907121.0
2024-02;2224795.0;904188.0
2024-01;2227763.0;890451.0
2023-12;2165015.0;800937.0
2023-11;2214745.0;870162.0
2023-10;2217862.0;867225.0
2023-09;2199760.0;857747.0
2023-08;2143571.0;825866.0
2023-07;2024428.0;679544.0
2023-06;1976922.0;679110.0
2023-05;2160061.0;841720.0
2023-04;2123703.0;832558.0
2023-03;2162870.0;842199.0
2023-02;2147118.0;835513.0
2023-01;2125676.0;829271.0
2022-12;2101283.0;807851.0
2022-11;2110657.0;780688.0
2022-10;2185629.0;834451.0
2022-09;2167885.0;817144.0
2022-08;2136084.0;801716.0
2022-07;1995118.0;663193.0
2022-06;1984812.0;672521.0
2022-05;2065451.0;787435.0
2022-04;2008241.0;765357.0
2022-03;2043351.0;782935.0
2022-02;2029353.0;782421.0
2022-01;2011530.0;780395.0
2021-12;1941660.0;735341.0
2021-11;1932274.0;761027.0
2021-10;1903448.0;755881.0
2021-09;1886323.0;749755.0
2021-08;1849927.0;722271.0
2021-07;1756026.0;623985.0
2021-06;1825399.0;679511.0
2021-05;1881346.0;747166.0
2021-04;1895466.0;751388.0
2021-03;1895425.0;746687.0
2021-02;1909878.0;750910.0
2021-01;1919138.0;749673.0
2020-12;1936214.0;748115.0
2020-11;1957765.0;758154.0
2020-10;1960876.0;756484.0
2020-09;1969032.0;754592.0
2020-08;1981253.0;754454.0
2020-07;1997750.0;751465.0
2020-06;2034054.0;760094.0
2020-05;2046516.0;761289.0
2020-04;2044946.0;760256.0
2020-03;2037419.0;758065.0
2020-02;2032659.0;749447.0
2020-01;2028289.0;744932.0
2019-12;1995175.0;692696.0
2019-11;2037580.0;736305.0
2019-10;2022766.0;730279.0
2019-09;2019789.0;727493.0
2019-08;1974934.0;692004.0
2019-07;1906685.0;568378.0
2019-06;1982570.0;656087.0
2019-05;2022626.0;717853.0
2019-04;2049544.0;722750.0
2019-03;2051772.0;708814.0
2019-02;2059355.0;713592.0
2019-01;2055002.0;711457.0
2018-12;2015284.0;659036.0
2018-11;2053575.0;703862.0
2018-10;2044987.0;698945.0
2018-09;2024771.0;693115.0
2018-08;1931077.0;630566.0
2018-07;1903888.0;546397.0
2018-06;1954419.0;626315.0
2018-05;2034011.0;697899.0
2018-04;2019725.0;687092.0
2018-03;2012745.0;672308.0
2018-02;2017612.0;682778.0
2018-01;1989237.0;654491.0
